Feature,Training error,Validation error
Jitter(Abs),205075.22147990274,96973.31319137447
RPDE,204265.28971335987,97135.50300013888
NHR,205014.92958939815,97899.07059830228
Shimmer:DDA,204914.55833665177,98110.01007662772
Shimmer:APQ3,204914.45857054542,98110.16318599532
Jitter:RAP,204791.60383769355,98537.70214838939
Jitter:DDP,204790.6417864643,98539.86563633256
Shimmer:APQ5,204221.59602357203,99121.82742007473
Shimmer(dB),203748.17918084073,99182.72195248981
Shimmer,204002.70782916463,99252.7483618469
Jitter(%),204433.6012971896,99532.90967537077
Jitter:PPQ5,204284.537406779,100119.55761296581
DFA,204662.18395308254,102143.86493330903
Shimmer:APQ11,199979.7036130155,105379.47271270692
HNR,202992.05530309232,106036.17198678233
PPE,197682.05409631802,114466.19015649863
